Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,class
1,,,,,,1,0,-1,,,1
Untitled Polygon,,,,,,1,0,-1,,,1
Untitled Polygon,,,,,,1,0,-1,,,1
Untitled Polygon,,,,,,1,0,-1,,,1
Untitled Polygon,,,,,,1,0,-1,,,1
Untitled Polygon,,,,,,1,0,-1,,,1
Untitled Polygon,,,,,,1,0,-1,,,1
Untitled Polygon,,,,,,1,0,-1,,,1
Untitled Polygon,,,,,,1,0,-1,,,1
10,,,,,,1,0,-1,,,1
Untitled Polygon,,,,,,1,0,-1,,,1
Untitled Polygon,,,,,,1,0,-1,,,1
Untitled Polygon,,,,,,1,0,-1,,,1
Untitled Polygon,,,,,,1,0,-1,,,1
Untitled Polygon,,,,,,1,0,-1,,,1
Untitled Polygon,,,,,,1,0,-1,,,1
Untitled Polygon,,,,,,1,0,-1,,,1
Untitled Polygon,,,,,,1,0,-1,,,1
Untitled Polygon,,,,,,1,0,-1,,,1
20,,,,,,1,0,-1,,,1
Untitled Polygon,,,,,,1,0,-1,,,1
Untitled Polygon,,,,,,1,0,-1,,,1
Untitled Polygon,,,,,,1,0,-1,,,1
Untitled Polygon,,,,,,1,0,-1,,,1
Untitled Polygon,,,,,,1,0,-1,,,1
Untitled Polygon,,,,,,1,0,-1,,,1
Untitled Polygon,,,,,,1,0,-1,,,1
Untitled Polygon,,,,,,1,0,-1,,,1
Untitled Polygon,,,,,,1,0,-1,,,1
30,,,,,,1,0,-1,,,1
Untitled Polygon,,,,,,1,0,-1,,,1
Untitled Polygon,,,,,,1,0,-1,,,1
Untitled Polygon,,,,,,1,0,-1,,,1
Untitled Polygon,,,,,,1,0,-1,,,1
Untitled Polygon,,,,,,1,0,-1,,,1
Untitled Polygon,,,,,,1,0,-1,,,1
Untitled Polygon,,,,,,1,0,-1,,,1
Untitled Polygon,,,,,,1,0,-1,,,1
Untitled Polygon,,,,,,1,0,-1,,,1
40,,,,,,1,0,-1,,,1
